pair,category,refIdx,irIdx,nested,refDims,irDims,f1,cellMissCount
korea-kr-pairs/156782183_260917 세금포인트로 떠나는 게임과 바닷속 여행!,unmatched,11,-1,False,17x4,,0,24
korea-kr-pairs/156782183_260917 세금포인트로 떠나는 게임과 바닷속 여행!,rows,12,11,False,33x4,49x4,0.68,36
"korea-kr-pairs/156782230_260917_기후대응위, 제2차 기후위기대응 권역별(강원) 포럼 개최 보도자료",rows,1,1,False,18x4,17x4,0.7556,14
korea-kr-pairs/156782239_(260917) 보도자료_전통시장 현장방문,unmatched,0,-1,False,3x2,,0,2
korea-kr-pairs/156782239_(260917) 보도자료_전통시장 현장방문,cols,1,0,False,2x6,2x4,0.4444,8
korea-kr-pairs/156782476_★260918 중장기위원회 전체회의 보도자료(최종),unmatched,0,-1,False,3x2,,0,2
korea-kr-pairs/156782476_★260918 중장기위원회 전체회의 보도자료(최종),cols,1,0,False,5x7,5x4,0.5,17
korea-kr-pairs/156782487_260919_보도자료_2026 제48회 중국 상하이 국제기능올림픽대회 국가대표 선수단 출국(한국산업인력공단),both_axes,0,0,False,4x8,2x4,0.1818,10
korea-kr-pairs/156782487_260919_보도자료_2026 제48회 중국 상하이 국제기능올림픽대회 국가대표 선수단 출국(한국산업인력공단),rows,1,1,False,57x5,29x5,0.6744,140
"korea-kr-pairs/156782522_[9.21.월 조간] ‘일하는 즐거움, 당당한 어르신, 활기찬 대한민국’ 노인일자리가 만들어 갑니다",unmatched,8,-1,False,3x2,,0,5
"korea-kr-pairs/156782522_[9.21.월 조간] ‘일하는 즐거움, 당당한 어르신, 활기찬 대한민국’ 노인일자리가 만들어 갑니다",rows,9,8,False,3x2,6x2,0.6667,4
korea-kr-pairs/156782525_260920_보도자료_반도체 제조업 집중 점검 결과 발표,both_axes,2,2,False,7x8,6x4,0.2105,28
korea-kr-pairs2/156775650_260827(참고) 대규모유통업법 시행령 및 고시 입법 행정예고,rows,6,6,False,15x2,12x2,0.8889,4
korea-kr-pairs2/156775700_(보도자료)2026년 2분기 가계동향조사 결과,cols,0,0,False,3x6,3x4,0.4615,11
korea-kr-pairs2/156775700_(보도자료)2026년 2분기 가계동향조사 결과,cols,1,1,False,3x2,3x3,0.4,2
