document_id,base_overall,new_overall,delta,base_nid,new_nid,base_teds,new_teds,base_mhs,new_mhs
01030000000001,0.9861242224,0.9861242224,0.0000000000,0.9923940601,0.9923940601,,,0.9798543846,0.9798543846
01030000000002,0.9871358316,0.9871358316,0.0000000000,0.9880492738,0.9880492738,,,0.9862223895,0.9862223895
01030000000003,0.9593041866,0.9593041866,0.0000000000,0.9637325274,0.9637325274,,,0.9548758458,0.9548758458
01030000000004,0.9912717811,0.9912717811,0.0000000000,0.9884778654,0.9884778654,,,0.9940656968,0.9940656968
01030000000005,0.7972350230,0.7972350230,0.0000000000,0.7972350230,0.7972350230,,,,
01030000000006,0.8727272727,0.8727272727,0.0000000000,0.8727272727,0.8727272727,,,,
01030000000007,0.9003088469,0.9003088469,0.0000000000,0.9802273851,0.9802273851,,,0.8203903088,0.8203903088
01030000000008,0.8014505893,0.8014505893,0.0000000000,0.8014505893,0.8014505893,,,,
01030000000009,0.7267652805,0.7267652805,0.0000000000,0.7267652805,0.7267652805,,,,
01030000000010,0.9362939466,0.9362939466,0.0000000000,0.9362939466,0.9362939466,,,,
01030000000011,0.9246736908,0.9246736908,0.0000000000,0.9246736908,0.9246736908,,,,
01030000000012,0.9705819197,0.9705819197,0.0000000000,0.9705819197,0.9705819197,,,,
01030000000013,0.6852944023,0.6852944023,0.0000000000,0.7541340296,0.7541340296,,,0.6164547750,0.6164547750
01030000000014,0.9495798319,0.9495798319,0.0000000000,0.9495798319,0.9495798319,,,,
01030000000015,0.9305724726,0.9305724726,0.0000000000,0.9305724726,0.9305724726,,,,
01030000000016,0.7689080105,0.9991627421,0.2302547316,0.6932100960,0.9990029910,,,0.8446059251,0.9993224932
01030000000017,0.9730205279,0.9738773114,0.0008567836,0.9730205279,0.9738773114,,,,
01030000000018,0.8321005675,0.8321005675,0.0000000000,0.7831149927,0.7831149927,,,0.8810861423,0.8810861423
01030000000019,0.9939560061,0.9939560061,0.0000000000,0.9983801296,0.9983801296,,,0.9895318827,0.9895318827
01030000000020,0.9962714392,0.9962714392,0.0000000000,0.9962714392,0.9962714392,,,,
01030000000021,0.8725106256,0.8725106256,0.0000000000,0.9959088252,0.9959088252,,,0.7491124260,0.7491124260
01030000000022,0.9958965942,0.9958965942,0.0000000000,0.9958965942,0.9958965942,,,,
01030000000023,0.9984282908,0.9984282908,0.0000000000,0.9984282908,0.9984282908,,,,
01030000000024,0.9989768774,0.9989768774,0.0000000000,0.9989768774,0.9989768774,,,,
01030000000025,0.9983874683,0.9983874683,0.0000000000,0.9983874683,0.9983874683,,,,
01030000000026,0.9974424552,0.9974424552,0.0000000000,0.9974424552,0.9974424552,,,,
01030000000027,0.5791173305,0.5791173305,0.0000000000,0.5791173305,0.5791173305,,,,
01030000000028,0.6269488764,0.8135099324,0.1865610560,0.9890981169,0.9905707196,,,0.2647996358,0.6364491451
01030000000029,0.7094473362,0.9792955210,0.2698481848,0.9721212121,0.9734486421,,,0.4467734603,0.9851424000
01030000000030,0.9515581611,0.9676710609,0.0161128998,0.9515581611,0.9676710609,,,,
