document_id,overall_before,overall_after,delta,nid_before,nid_after,teds_before,teds_after,mhs_before,mhs_after
01030000000001,0.986124,0.986124,0.000000,0.992394,0.992394,,,0.979854,0.979854
01030000000002,0.987136,0.987136,0.000000,0.988049,0.988049,,,0.986222,0.986222
01030000000003,0.959304,0.959304,0.000000,0.963733,0.963733,,,0.954876,0.954876
01030000000004,0.991272,0.991272,0.000000,0.988478,0.988478,,,0.994066,0.994066
01030000000005,0.797235,0.797235,0.000000,0.797235,0.797235,,,,
01030000000006,0.872727,0.872727,0.000000,0.872727,0.872727,,,,
01030000000007,0.900309,0.900309,0.000000,0.980227,0.980227,,,0.820390,0.820390
01030000000008,0.801451,0.823925,0.022475,0.801451,0.823925,,,,
01030000000009,0.726765,0.961517,0.234752,0.726765,0.961517,,,,
01030000000010,0.936294,0.936294,0.000000,0.936294,0.936294,,,,
01030000000011,0.924674,0.925809,0.001136,0.924674,0.925809,,,,
01030000000012,0.970582,0.972532,0.001950,0.970582,0.972532,,,,
01030000000013,0.685294,0.933816,0.248522,0.754134,0.962818,,,0.616455,0.904815
01030000000014,0.949580,0.953825,0.004245,0.949580,0.953825,,,,
01030000000015,0.930572,0.930572,0.000000,0.930572,0.930572,,,,
01030000000016,0.999163,0.999163,0.000000,0.999003,0.999003,,,0.999322,0.999322
01030000000017,0.973877,0.973877,0.000000,0.973877,0.973877,,,,
01030000000018,0.832101,0.832101,0.000000,0.783115,0.783115,,,0.881086,0.881086
01030000000019,0.993956,0.993956,0.000000,0.998380,0.998380,,,0.989532,0.989532
01030000000020,0.996271,0.996271,0.000000,0.996271,0.996271,,,,
01030000000021,0.872511,0.872511,0.000000,0.995909,0.995909,,,0.749112,0.749112
01030000000022,0.995897,0.995897,0.000000,0.995897,0.995897,,,,
01030000000023,0.998428,0.998428,0.000000,0.998428,0.998428,,,,
01030000000024,0.998977,0.998977,0.000000,0.998977,0.998977,,,,
01030000000025,0.998387,0.998387,0.000000,0.998387,0.998387,,,,
01030000000026,0.997442,0.997442,0.000000,0.997442,0.997442,,,,
01030000000027,0.579117,0.579117,0.000000,0.579117,0.579117,,,,
01030000000028,0.813510,0.992196,0.178686,0.990571,0.991063,,,0.636449,0.993329
01030000000029,0.979296,0.979296,0.000000,0.973449,0.973449,,,0.985142,0.985142
01030000000030,0.967671,0.968127,0.000456,0.967671,0.968127,,,,
01030000000031,0.789450,0.789450,0.000000,0.945308,0.945308,,,0.633592,0.633592
01030000000032,0.982673,0.982673,0.000000,0.975142,0.975142,,,0.990204,0.990204
01030000000033,0.947441,0.947441,0.000000,0.921826,0.921826,,,0.973055,0.973055
01030000000034,0.881441,0.881441,0.000000,0.881441,0.881441,,,,
01030000000035,0.929101,0.929101,0.000000,0.940918,0.940918,,,0.917284,0.917284
01030000000036,0.987523,0.987523,0.000000,0.984890,0.984890,,,0.990156,0.990156
